"","Id","TotalSteps","TotalDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","Weekday","ActiveMinutesTotal"
"1",1503960366,13162,8.5,1.879999995,0.5500000119,6.059999943,25,13,328,728,1985,"Tuesday",366
"2",1503960366,10735,6.96999979,1.570000052,0.6899999976,4.710000038,21,19,217,776,1797,"Wednesday",257
"3",1503960366,10460,6.739999771,2.440000057,0.400000006,3.910000086,30,11,181,1218,1776,"Thursday",222
"4",1503960366,9762,6.28000021,2.140000105,1.25999999,2.829999924,29,34,209,726,1745,"Friday",272
"5",1503960366,12669,8.159999847,2.710000038,0.4099999964,5.039999962,36,10,221,773,1863,"Saturday",267
"6",1503960366,9705,6.480000019,3.190000057,0.7799999714,2.50999999,38,20,164,539,1728,"Sunday",222
"7",1503960366,13019,8.590000153,3.25,0.6399999857,4.710000038,42,16,233,1149,1921,"Monday",291
"8",1503960366,15506,9.880000114,3.529999971,1.320000052,5.03000021,50,31,264,775,2035,"Tuesday",345
"9",1503960366,10544,6.679999828,1.960000038,0.4799999893,4.239999771,28,12,205,818,1786,"Wednesday",245
"10",1503960366,9819,6.340000153,1.340000033,0.349999994,4.650000095,19,8,211,838,1775,"Thursday",238
"11",1503960366,12764,8.130000114,4.760000229,1.120000005,2.24000001,66,27,130,1217,1827,"Friday",223
"12",1503960366,14371,9.039999962,2.809999943,0.8700000048,5.360000134,41,21,262,732,1949,"Saturday",324
"13",1503960366,10039,6.409999847,2.920000076,0.2099999934,3.279999971,39,5,238,709,1788,"Sunday",282
"14",1503960366,15355,9.800000191,5.289999962,0.5699999928,3.940000057,73,14,216,814,2013,"Monday",303
"15",1503960366,13755,8.789999962,2.329999924,0.9200000167,5.539999962,31,23,279,833,1970,"Tuesday",333
"16",1503960366,18134,12.21000004,6.400000095,0.4099999964,5.409999847,78,11,243,1108,2159,"Wednesday",332
"17",1503960366,13154,8.529999733,3.539999962,1.159999967,3.789999962,48,28,189,782,1898,"Thursday",265
"18",1503960366,11181,7.150000095,1.059999943,0.5,5.579999924,16,12,243,815,1837,"Friday",271
"19",1503960366,14673,9.25,3.559999943,1.419999957,4.269999981,52,34,217,712,1947,"Saturday",303
"20",1503960366,10602,6.809999943,2.289999962,1.600000024,2.920000076,33,35,246,730,1820,"Sunday",314
"21",1503960366,14727,9.710000038,3.210000038,0.5699999928,5.920000076,41,15,277,798,2004,"Monday",333
"22",1503960366,15103,9.659999847,3.730000019,1.049999952,4.880000114,50,24,254,816,1990,"Tuesday",328
"23",1503960366,11100,7.150000095,2.460000038,0.8700000048,3.819999933,36,22,203,1179,1819,"Wednesday",261
"24",1503960366,14070,8.899999619,2.920000076,1.080000043,4.880000114,45,24,250,857,1959,"Thursday",319
"25",1503960366,12159,8.029999733,1.970000029,0.25,5.809999943,24,6,289,754,1896,"Friday",319
"26",1503960366,11992,7.710000038,2.460000038,2.119999886,3.130000114,37,46,175,833,1821,"Saturday",258
"27",1503960366,10060,6.579999924,3.529999971,0.3199999928,2.730000019,44,8,203,574,1740,"Sunday",255
"28",1503960366,12022,7.71999979,3.450000048,0.5299999714,3.74000001,46,11,206,835,1819,"Monday",263
