"","Id","ActivityDate","TotalSteps","TotalDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","ActiveMinutesTotal"
"1",1503960366,"4/12/2016",13162,8.5,1.879999995,0.5500000119,6.059999943,25,13,328,728,1985,366
"2",1503960366,"4/13/2016",10735,6.96999979,1.570000052,0.6899999976,4.710000038,21,19,217,776,1797,257
"3",1503960366,"4/14/2016",10460,6.739999771,2.440000057,0.400000006,3.910000086,30,11,181,1218,1776,222
"4",1503960366,"4/15/2016",9762,6.28000021,2.140000105,1.25999999,2.829999924,29,34,209,726,1745,272
"5",1503960366,"4/16/2016",12669,8.159999847,2.710000038,0.4099999964,5.039999962,36,10,221,773,1863,267
"6",1503960366,"4/17/2016",9705,6.480000019,3.190000057,0.7799999714,2.50999999,38,20,164,539,1728,222
"7",1503960366,"4/18/2016",13019,8.590000153,3.25,0.6399999857,4.710000038,42,16,233,1149,1921,291
"8",1503960366,"4/19/2016",15506,9.880000114,3.529999971,1.320000052,5.03000021,50,31,264,775,2035,345
"9",1503960366,"4/20/2016",10544,6.679999828,1.960000038,0.4799999893,4.239999771,28,12,205,818,1786,245
"10",1503960366,"4/21/2016",9819,6.340000153,1.340000033,0.349999994,4.650000095,19,8,211,838,1775,238
"11",1503960366,"4/22/2016",12764,8.130000114,4.760000229,1.120000005,2.24000001,66,27,130,1217,1827,223
"12",1503960366,"4/23/2016",14371,9.039999962,2.809999943,0.8700000048,5.360000134,41,21,262,732,1949,324
"13",1503960366,"4/24/2016",10039,6.409999847,2.920000076,0.2099999934,3.279999971,39,5,238,709,1788,282
"14",1503960366,"4/25/2016",15355,9.800000191,5.289999962,0.5699999928,3.940000057,73,14,216,814,2013,303
"15",1503960366,"4/26/2016",13755,8.789999962,2.329999924,0.9200000167,5.539999962,31,23,279,833,1970,333
"16",1503960366,"4/27/2016",18134,12.21000004,6.400000095,0.4099999964,5.409999847,78,11,243,1108,2159,332
"17",1503960366,"4/28/2016",13154,8.529999733,3.539999962,1.159999967,3.789999962,48,28,189,782,1898,265
"18",1503960366,"4/29/2016",11181,7.150000095,1.059999943,0.5,5.579999924,16,12,243,815,1837,271
"19",1503960366,"4/30/2016",14673,9.25,3.559999943,1.419999957,4.269999981,52,34,217,712,1947,303
"20",1503960366,"5/01/2016",10602,6.809999943,2.289999962,1.600000024,2.920000076,33,35,246,730,1820,314
"21",1503960366,"5/02/2016",14727,9.710000038,3.210000038,0.5699999928,5.920000076,41,15,277,798,2004,333
"22",1503960366,"5/03/2016",15103,9.659999847,3.730000019,1.049999952,4.880000114,50,24,254,816,1990,328
"23",1503960366,"5/04/2016",11100,7.150000095,2.460000038,0.8700000048,3.819999933,36,22,203,1179,1819,261
"24",1503960366,"5/05/2016",14070,8.899999619,2.920000076,1.080000043,4.880000114,45,24,250,857,1959,319
"25",1503960366,"5/06/2016",12159,8.029999733,1.970000029,0.25,5.809999943,24,6,289,754,1896,319
"26",1503960366,"5/07/2016",11992,7.710000038,2.460000038,2.119999886,3.130000114,37,46,175,833,1821,258
"27",1503960366,"5/08/2016",10060,6.579999924,3.529999971,0.3199999928,2.730000019,44,8,203,574,1740,255
"28",1503960366,"5/09/2016",12022,7.71999979,3.450000048,0.5299999714,3.74000001,46,11,206,835,1819,263
"29",1503960366,"5/10/2016",12207,7.769999981,3.349999905,1.159999967,3.25999999,46,31,214,746,1859,291
"30",1503960366,"5/11/2016",12770,8.130000114,2.559999943,1.00999999,4.550000191,36,23,251,669,1783,310
"31",1503960366,"5/12/2016",0,0,0,0,0,0,0,0,1440,0,0
"32",1624580081,"4/12/2016",8163,5.309999943,0,0,5.309999943,0,0,146,1294,1432,146
"33",1624580081,"4/13/2016",7007,4.550000191,0,0,4.550000191,0,0,148,1292,1411,148
"34",1624580081,"4/14/2016",9107,5.920000076,0,0,5.909999847,0,0,236,1204,1572,236
"35",1624580081,"4/15/2016",1510,0.9800000191,0,0,0.9700000286,0,0,96,1344,1344,96
"36",1624580081,"4/16/2016",5370,3.49000001,0,0,3.49000001,0,0,176,1264,1463,176
"37",1624580081,"4/17/2016",6175,4.059999943,1.029999971,1.519999981,1.49000001,15,22,127,1276,1554,164
"38",1624580081,"4/18/2016",10536,7.409999847,2.150000095,0.6200000048,4.619999886,17,7,202,1214,1604,226
"39",1624580081,"4/19/2016",2916,1.899999976,0,0,1.899999976,0,0,141,1299,1435,141
"40",1624580081,"4/20/2016",4974,3.230000019,0,0,3.230000019,0,0,151,1289,1446,151
"41",1624580081,"4/21/2016",6349,4.130000114,0,0,4.110000134,0,0,186,1254,1467,186
"42",1624580081,"4/22/2016",4026,2.619999886,0,0,2.599999905,0,0,199,1241,1470,199
"43",1624580081,"4/23/2016",8538,5.550000191,0,0,5.539999962,0,0,227,1213,1562,227
"44",1624580081,"4/24/2016",6076,3.950000048,1.149999976,0.9100000262,1.889999986,16,18,185,1221,1617,219
"45",1624580081,"4/25/2016",6497,4.21999979,0,0,4.199999809,0,0,202,1238,1492,202
"46",1624580081,"4/26/2016",2826,1.840000033,0,0,1.830000043,0,0,140,1300,1402,140
"47",1624580081,"4/27/2016",8367,5.440000057,1.110000014,1.870000005,2.460000038,17,36,154,1233,1670,207
"48",1624580081,"4/28/2016",2759,1.789999962,0,0.200000003,1.600000024,0,5,115,1320,1401,120
"49",1624580081,"4/29/2016",2390,1.549999952,0,0,1.549999952,0,0,150,1290,1404,150
"50",1624580081,"4/30/2016",6474,4.300000191,0.8999999762,1.279999971,2.119999886,11,23,224,1182,1655,258
"51",1624580081,"5/01/2016",36019,28.03000069,21.92000008,4.190000057,1.909999967,186,63,171,1020,2690,420
"52",1624580081,"5/02/2016",7155,4.929999828,0.8600000143,0.5899999738,3.470000029,7,6,166,1261,1497,179
"53",1624580081,"5/03/2016",2100,1.370000005,0,0,1.340000033,0,0,96,1344,1334,96
"54",1624580081,"5/04/2016",2193,1.429999948,0,0,1.419999957,0,0,118,1322,1368,118
"55",1624580081,"5/05/2016",2470,1.610000014,0,0,1.580000043,0,0,117,1323,1370,117
"56",1624580081,"5/06/2016",1727,1.120000005,0,0,1.120000005,0,0,102,1338,1341,102
"57",1624580081,"5/07/2016",2104,1.370000005,0,0,1.370000005,0,0,182,1258,1474,182
"58",1624580081,"5/08/2016",3427,2.230000019,0,0,2.220000029,0,0,152,1288,1427,152
"59",1624580081,"5/09/2016",1732,1.129999995,0,0,1.129999995,0,0,91,1349,1328,91
"60",1624580081,"5/10/2016",2969,1.929999948,0,0,1.919999957,0,0,139,1301,1393,139
"61",1624580081,"5/11/2016",3134,2.039999962,0,0,2.039999962,0,0,112,1328,1359,112
"62",1624580081,"5/12/2016",2971,1.929999948,0,0,1.919999957,0,0,107,890,1002,107
"63",1644430081,"4/12/2016",10694,7.769999981,0.1400000006,2.299999952,5.329999924,2,51,256,1131,3199,309
"64",1644430081,"4/13/2016",8001,5.820000172,2.279999971,0.8999999762,2.640000105,30,16,135,1259,2902,181
"65",1644430081,"4/14/2016",11037,8.020000458,0.3600000143,2.559999943,5.099999905,5,58,252,1125,3226,315
"66",1644430081,"4/15/2016",5263,3.829999924,0.2199999988,0.150000006,3.450000048,3,4,170,1263,2750,177
"67",1644430081,"4/16/2016",15300,11.11999989,4.099999905,1.879999995,5.090000153,51,42,212,1135,3493,305
"68",1644430081,"4/17/2016",8757,6.369999886,2.25,0.5699999928,3.549999952,29,13,186,1212,3011,228
"69",1644430081,"4/18/2016",7132,5.190000057,1.070000052,1.669999957,2.450000048,15,33,121,1271,2806,169
"70",1644430081,"4/19/2016",11256,8.180000305,0.3600000143,2.529999971,5.300000191,5,58,278,1099,3300,341
"71",1644430081,"4/20/2016",2436,1.769999981,0,0,1.75999999,0,0,125,1315,2430,125
"72",1644430081,"4/21/2016",1223,0.8899999857,0,0,0.8799999952,0,0,38,1402,2140,38
